c.MolID
CHEMBL6206
CHEMBL2
CHEMBL3
CHEMBL6246
CHEMBL204021
CHEMBL6
CHEMBL6291
CHEMBL268769
CHEMBL8
CHEMBL10
CHEMBL440084
CHEMBL269538
CHEMBL6857
CHEMBL6746
CHEMBL6505
CHEMBL266571
CHEMBL6591
CHEMBL6586
CHEMBL6310
CHEMBL269571
CHEMBL268600
CHEMBL6562
CHEMBL266196
CHEMBL380726
CHEMBL6426
CHEMBL6716
CHEMBL427604
CHEMBL265671
CHEMBL6557
CHEMBL427956
CHEMBL6467
CHEMBL6616
CHEMBL6640
CHEMBL6508
CHEMBL269601
CHEMBL267459
CHEMBL267458
CHEMBL405
CHEMBL6437
CHEMBL6731
CHEMBL263881
CHEMBL11
CHEMBL406
CHEMBL408
CHEMBL6623
CHEMBL269004
CHEMBL6393
CHEMBL269073
CHEMBL409
CHEMBL12
CHEMBL13
CHEMBL7087
CHEMBL266195
CHEMBL6737
CHEMBL411
CHEMBL6633
CHEMBL266240
CHEMBL6685
CHEMBL14
CHEMBL413
CHEMBL269732
CHEMBL6367
CHEMBL7146
CHEMBL266026
CHEMBL269122
CHEMBL268439
CHEMBL414
CHEMBL6784
CHEMBL6919
CHEMBL269058
CHEMBL6705
CHEMBL6753
CHEMBL265674
CHEMBL6852
CHEMBL268177
CHEMBL415
CHEMBL7078
CHEMBL7303
CHEMBL6453
CHEMBL416
CHEMBL268809
CHEMBL17
CHEMBL6620
CHEMBL6607
CHEMBL18
CHEMBL6724
CHEMBL6853
CHEMBL19
CHEMBL20
CHEMBL418
CHEMBL419
CHEMBL7092
CHEMBL7204
CHEMBL21
CHEMBL6808
CHEMBL414183
CHEMBL420
CHEMBL22
CHEMBL6966
CHEMBL421
CHEMBL6466
CHEMBL23
CHEMBL24
CHEMBL422
CHEMBL26
CHEMBL27
CHEMBL268071
CHEMBL268377
CHEMBL7108
CHEMBL7193
CHEMBL267939
CHEMBL6572
CHEMBL7121
CHEMBL7002
CHEMBL415482
CHEMBL28
CHEMBL6973
CHEMBL7390
CHEMBL269019
CHEMBL30
CHEMBL266292
CHEMBL7756
CHEMBL7162
CHEMBL268114
CHEMBL427616
CHEMBL429
CHEMBL7263
CHEMBL7492
CHEMBL267179
CHEMBL7602
CHEMBL7488
CHEMBL7318
CHEMBL267615
CHEMBL434
CHEMBL266591
CHEMBL268800
CHEMBL266497
CHEMBL435
CHEMBL35
CHEMBL268379
CHEMBL7634
CHEMBL36
CHEMBL436
CHEMBL7679
CHEMBL268799
CHEMBL7098
CHEMBL442
CHEMBL8165
CHEMBL38
CHEMBL39
CHEMBL41
CHEMBL7379
CHEMBL7257
CHEMBL266487
CHEMBL267014
CHEMBL7463
CHEMBL7382
CHEMBL42
CHEMBL445
CHEMBL7660
CHEMBL7737
CHEMBL7608
CHEMBL7735
CHEMBL7568
CHEMBL7927
CHEMBL415300
CHEMBL7909
CHEMBL7266
CHEMBL7470
CHEMBL7624
CHEMBL7684
CHEMBL7113
CHEMBL266349
CHEMBL7393
CHEMBL7449
CHEMBL43
CHEMBL268240
CHEMBL8074
CHEMBL7806
CHEMBL7656
CHEMBL8210
CHEMBL8070
CHEMBL44
CHEMBL7962
CHEMBL7850
CHEMBL7381
CHEMBL7549
CHEMBL7550
CHEMBL276473
CHEMBL7828
CHEMBL414206
CHEMBL7531
CHEMBL429023
CHEMBL7973
CHEMBL7967
CHEMBL267460
CHEMBL7917
CHEMBL8132
CHEMBL266960
CHEMBL7781
CHEMBL273658
CHEMBL45
CHEMBL267805
CHEMBL8410
CHEMBL415309
CHEMBL7889
CHEMBL266510
CHEMBL269079
CHEMBL8198
CHEMBL8184
CHEMBL7868
CHEMBL267231
CHEMBL8007
CHEMBL46
CHEMBL7987
CHEMBL7988
CHEMBL266282
CHEMBL8637
CHEMBL8639
CHEMBL7843
CHEMBL8145
CHEMBL266709
CHEMBL8027
CHEMBL267708
CHEMBL267940
CHEMBL8234
CHEMBL8150
CHEMBL7671
CHEMBL7802
CHEMBL274208
CHEMBL8140
CHEMBL268239
CHEMBL8238
CHEMBL267803
CHEMBL8230
CHEMBL8219
CHEMBL8600
CHEMBL8602
CHEMBL8412
CHEMBL49
CHEMBL8040
CHEMBL276500
CHEMBL8260
CHEMBL50
CHEMBL274642
CHEMBL51
CHEMBL8224
CHEMBL8333
CHEMBL8320
CHEMBL266532
CHEMBL52
CHEMBL460
CHEMBL53
CHEMBL54
CHEMBL8315
CHEMBL275104
CHEMBL55
CHEMBL274878
CHEMBL8771
CHEMBL8498
CHEMBL8646
CHEMBL8494
CHEMBL8839
CHEMBL56
CHEMBL8618
CHEMBL8514
CHEMBL275079
CHEMBL8659
CHEMBL8739
CHEMBL275106
CHEMBL8706
CHEMBL8454
CHEMBL427656
CHEMBL8857
CHEMBL267476
CHEMBL8758
