Molecule,Target,Value,Unit,Parameter,ScaID
JLPMYONMQRJJSS-UHFFFAOYSA-N,TSPO,0.31,nM,Ki,Sca47723
KAQBDGZMPFIGFI-UHFFFAOYSA-N,TSPO,4.34,nM,Ki,Sca771
OZGGBPYLCONICH-UHFFFAOYSA-N,TSPO,1.4,nM,Ki,Sca47723
CSWQEZJPOVECNM-UHFFFAOYSA-N,TSPO,0.93,nM,Ki,Sca69453
COBNEDJREBZQNL-UHFFFAOYSA-N,TSPO,0.76,nM,Ki,Sca69453
KMVCCYAPFSUDPB-UHFFFAOYSA-N,TSPO,0.31,nM,Ki,Sca69453
VCWCTWCTLHIDMW-UHFFFAOYSA-N,TSPO,0.32,nM,Ki,Sca6944
QADKGESFRPHMRQ-UHFFFAOYSA-N,TSPO,0.49,nM,Ki,Sca69453
VSERNPMKKDYMTG-UHFFFAOYSA-N,TSPO,1.7,nM,Ki,Sca771
HVTDZMXLBOBLOO-UHFFFAOYSA-N,TSPO,11.59,nM,IC50,Sca6944
HVTDZMXLBOBLOO-UHFFFAOYSA-N,TSPO,8.82,nM,Ki,Sca6944
HVTDZMXLBOBLOO-UHFFFAOYSA-N,TSPO,0.884,nM,Ki,Sca6944
HVTDZMXLBOBLOO-UHFFFAOYSA-N,TSPO,1.5,nM,IC50,Sca6944
OXJAIYUOGTVKNT-UHFFFAOYSA-N,TSPO,0.33,nM,Ki,Sca69453
CREZVEBWPAIMPN-UHFFFAOYSA-N,TSPO,17.0,nM,Ki,Sca4237
MFGRJRNLZPYFGT-UHFFFAOYSA-N,TSPO,0.18,nM,Ki,Sca4237
PNYNMZGBFYRYDR-UHFFFAOYSA-N,TSPO,27.16,nM,IC50,Sca6944
PNYNMZGBFYRYDR-UHFFFAOYSA-N,TSPO,50.53,nM,Ki,Sca6944
PNYNMZGBFYRYDR-UHFFFAOYSA-N,TSPO,69.66,nM,IC50,Sca6944
PNYNMZGBFYRYDR-UHFFFAOYSA-N,TSPO,16.03,nM,Ki,Sca6944
KKRWEGYWRZERQV-UHFFFAOYSA-N,TSPO,65.37,nM,Ki,Sca6944
KKRWEGYWRZERQV-UHFFFAOYSA-N,TSPO,5.0,nM,IC50,Sca6944
KKRWEGYWRZERQV-UHFFFAOYSA-N,TSPO,3.05,nM,Ki,Sca6944
KKRWEGYWRZERQV-UHFFFAOYSA-N,TSPO,92.04,nM,IC50,Sca6944
LBMZKDWYSYFNER-UHFFFAOYSA-N,TSPO,59.2,nM,Ki,Sca69453
HGLLKLAWIRKNPN-UHFFFAOYSA-N,TSPO,0.35,nM,Ki,Sca69453
BJYPWPFNMWVQLP-UHFFFAOYSA-N,TSPO,2.2,nM,Ki,Sca771
XICRODIMJLZTJP-UHFFFAOYSA-N,TSPO,5.4,nM,Ki,Sca771
NZIYXDPUJYAIRB-UHFFFAOYSA-N,TSPO,1.7,nM,IC50,Sca6944
NZIYXDPUJYAIRB-UHFFFAOYSA-N,TSPO,0.203,nM,Ki,Sca6944
NZIYXDPUJYAIRB-UHFFFAOYSA-N,TSPO,1.27,nM,Ki,Sca6944
NZIYXDPUJYAIRB-UHFFFAOYSA-N,TSPO,0.33,nM,IC50,Sca6944
QJLZJESMFQBPJH-UHFFFAOYSA-N,TSPO,1.05,nM,Ki,Sca771
XXDBCUJRUIBMAN-UHFFFAOYSA-N,TSPO,26.1,nM,Ki,Sca565
BGLJZGMDUTWQNZ-UHFFFAOYSA-N,TSPO,1737.37,nM,Ki,Sca6944
BGLJZGMDUTWQNZ-UHFFFAOYSA-N,TSPO,2529.3,nM,IC50,Sca6944
BGLJZGMDUTWQNZ-UHFFFAOYSA-N,TSPO,79.77,nM,Ki,Sca6944
BGLJZGMDUTWQNZ-UHFFFAOYSA-N,TSPO,142.89,nM,IC50,Sca6944
GNESCJGWXGGGMS-UHFFFAOYSA-N,TSPO,0.52,nM,Ki,Sca69453
FFJUZLSTYFQXEM-UHFFFAOYSA-N,TSPO,0.26,nM,Ki,Sca69453
AMCHMCFQZZZVHL-UHFFFAOYSA-N,TSPO,0.38,nM,Ki,Sca771
VWCQIIUQPHDCEX-UHFFFAOYSA-N,TSPO,1.09,nM,Ki,Sca69453
SXUZXNFBYGVZCD-UHFFFAOYSA-N,TSPO,7.6,nM,Ki,Sca771
HFQUWZYJKYAJBG-UHFFFAOYSA-N,TSPO,0.3,nM,Ki,Sca69453
ZVDVQPLDTTXLKI-UHFFFAOYSA-N,TSPO,2.4,nM,Ki,Sca771
DVIKDTJZNOPQRK-UHFFFAOYSA-N,TSPO,1.4,nM,Ki,Sca47723
ZBEGUIHUCNDWJY-UHFFFAOYSA-N,TSPO,411.0,nM,Ki,Sca565
LOSYGZKHRVHDQS-UHFFFAOYSA-N,TSPO,502.0,nM,Ki,Sca771
OUFBUUDLBUTFDQ-UHFFFAOYSA-N,TSPO,3.6,nM,Ki,Sca47723
XGMAIANLNDEVRJ-UHFFFAOYSA-N,TSPO,1.5,nM,Ki,Sca47723
VTCBVFHFJRBIBB-UHFFFAOYSA-N,TSPO,0.77,nM,Ki,Sca47723
AZKBPBNCLYXTHL-UHFFFAOYSA-N,TSPO,13.3,nM,IC50,Sca6944
AZKBPBNCLYXTHL-UHFFFAOYSA-N,TSPO,4.8,nM,IC50,Sca6944
AZKBPBNCLYXTHL-UHFFFAOYSA-N,TSPO,3.65,nM,Ki,Sca6944
AZKBPBNCLYXTHL-UHFFFAOYSA-N,TSPO,7.84,nM,Ki,Sca6944
ZIMVZKBPYCAUPT-UHFFFAOYSA-N,TSPO,0.3,nM,Ki,Sca69453
IUIFYOGCQGXNRF-UHFFFAOYSA-N,TSPO,89.74,nM,IC50,Sca6944
IUIFYOGCQGXNRF-UHFFFAOYSA-N,TSPO,24.21,nM,IC50,Sca6944
IUIFYOGCQGXNRF-UHFFFAOYSA-N,TSPO,64.67,nM,Ki,Sca6944
IUIFYOGCQGXNRF-UHFFFAOYSA-N,TSPO,14.14,nM,Ki,Sca6944
UDLUEZOQCAUTNO-UHFFFAOYSA-N,TSPO,0.47,nM,Ki,Sca69453
FJDSDSUGKATIEX-UHFFFAOYSA-N,TSPO,27.8,nM,Ki,Sca565
SDGKIWUBFJUGKZ-UHFFFAOYSA-N,TSPO,0.33,nM,Ki,Sca69453
IEPBDJLCCQHAQX-UHFFFAOYSA-N,TSPO,0.7,nM,Ki,Sca771
SSNLRGQIUXAFIT-UHFFFAOYSA-N,TSPO,2.1,nM,Ki,Sca47723
ZLLAFKHEBPNRAH-UHFFFAOYSA-N,TSPO,0.46,nM,Ki,Sca15427
SIENPKVCBIGHDG-UHFFFAOYSA-N,TSPO,11.0,nM,Ki,Sca4237
OJLXUHNMGMOOSB-UHFFFAOYSA-N,TSPO,5.5,nM,Ki,Sca771
NWTOHPLZYJPHQI-UHFFFAOYSA-N,TSPO,3.1,nM,Ki,Sca771
SNJYUMRFDSCNJR-UHFFFAOYSA-N,TSPO,0.19,nM,Ki,Sca69453
WDMAUWGACDRLFF-UHFFFAOYSA-N,TSPO,25.18,nM,IC50,Sca6944
WDMAUWGACDRLFF-UHFFFAOYSA-N,TSPO,19.91,nM,IC50,Sca6944
WDMAUWGACDRLFF-UHFFFAOYSA-N,TSPO,18.27,nM,Ki,Sca6944
WDMAUWGACDRLFF-UHFFFAOYSA-N,TSPO,11.73,nM,Ki,Sca6944
XICRODIMJLZTJP-HNNXBMFYSA-N,TSPO,0.87,nM,Ki,Sca771
DGJOMAQBWUYHDA-UHFFFAOYSA-N,TSPO,5.7,nM,Ki,Sca3086
GLJREWMDZNICFV-UHFFFAOYSA-N,TSPO,5.0,nM,Ki,Sca3086
SGOGIXZBMCSNBW-UHFFFAOYSA-N,TSPO,29.11,nM,Ki,Sca950
SGOGIXZBMCSNBW-UHFFFAOYSA-N,TSPO,144.33,nM,Ki,Sca950
IIRWXQAVENQCMZ-UHFFFAOYSA-N,MGAT2,23.0,nM,IC50,Sca28749
WEMQWCPJHBGZMC-UHFFFAOYSA-N,MGAT2,316.23,nM,IC50,Sca1147
ARMFMDYRYOKSOW-UHFFFAOYSA-N,JUN,704.0,nM,IC50,Sca21062
HYNZVOLLNHBFQJ-UHFFFAOYSA-N,JUN,741.0,nM,IC50,Sca21062
KBCXTBOXZPZBNM-UHFFFAOYSA-N,JUN,20.0,nM,IC50,Sca15754
YJAAMQCVFGGTKS-MTOANXPYSA-N,A4,56.0,nM,Ki,Sca6456
TUNFCKFZFPSXAU-VBKFSLOCSA-N,A4,155.1,nM,Ki,Sca6456
LGPNBDUEKJEVNY-UHFFFAOYSA-N,A4,5.4,nM,Ki,Sca12375
LGPNBDUEKJEVNY-UHFFFAOYSA-N,A4,6.4,nM,Ki,Sca12375
FARYBMWDOPWSQD-LGMDPLHJSA-N,A4,139.9,nM,Ki,Sca6456
CLTHVXHFUZWNAX-UHFFFAOYSA-N,A4,1.6,nM,Ki,Sca12375
CLTHVXHFUZWNAX-UHFFFAOYSA-N,A4,5.0,nM,Ki,Sca12375
DSRMGPWSWGJUFD-ZMVJNSKBSA-N,A4,84.0,nM,Ki,Sca6456
TYGGRMZGJNJNDQ-UHFFFAOYSA-N,THIO,240.0,nM,IC50,Sca7716
RONMYAFEDUQUDG-UHFFFAOYSA-N,RAD51,930.0,nM,IC50,Sca15871
FGKRMUDQFGRDIW-UHFFFAOYSA-N,RAD51,810.0,nM,IC50,Sca15871
