"Target","Molecule"
"CHLE","ADEBPBSSDYVVLD-UHFFFAOYSA-N"
"ACES","ADEBPBSSDYVVLD-UHFFFAOYSA-N"
"ACES","VKJGBAJNNALVAV-UHFFFAOYSA-M"
"CHLE","HZZGTUOWJWTZKT-JQCXWYLXSA-N"
"MMP13","BDCJZZXWIQJYLP-FIWHBWSRSA-N"
"ACES","YWZCKVAHVJWALI-UHFFFAOYSA-N"
"MMP13","VMWGPLRCSWOQJR-UHFFFAOYSA-N"
"MMP13","QCBWOUQUDIILOW-UHFFFAOYSA-N"
"MMP13","UDTXDKDGZMYOBK-DFBJGRDBSA-N"
"MMP13","JAPLGNWCNXCEJT-XDHUDOTRSA-N"
"MMP13","KFGJNQLPIZMSFB-XDHUDOTRSA-N"
"MMP13","MHYRZRJQEBSULL-ZWKOTPCHSA-N"
"ADA","CKJGKHXCUDWFDC-UHFFFAOYSA-N"
"MMP13","XIQNNSMTTLQUTR-UHFFFAOYSA-N"
"MMP13","PYNQNWZHEDOQHX-VWLOTQADSA-N"
"MMP13","IFHBUYGFCSEHIF-UHFFFAOYSA-N"
"MMP13","ITDDXQSXMTUIFM-UHFFFAOYSA-N"
"MMP13","PRCRNUDMWULKSO-UHFFFAOYSA-N"
"MMP13","VGAPHGIXAQRVAL-UHFFFAOYSA-N"
"MMP13","XYVVUCAHUUIYFV-UHFFFAOYSA-N"
"MMP13","QYMKPTMAFMKKTC-UHFFFAOYSA-N"
"MMP13","YMFBAKCSKQKFMX-UHFFFAOYSA-N"
"MMP13","KFTWEWMQNRZZNL-UHFFFAOYSA-N"
"MMP13","VVZTYGQJDUUATC-UHFFFAOYSA-N"
"ACES","DREAHDLCWZKIJL-UHFFFAOYSA-N"
"ACES","IBPWGZKZWJYGLA-UHFFFAOYSA-N"
"MALT1","OFUVMXZHDYXMJK-UHFFFAOYSA-N"
"AT1A1","LTMHDMANZUZIPE-PUGKRICDSA-N"
"RN5A","RTAGLZBJCCVJET-UQTMIEBXSA-N"
"MMP13","SOPDPCOBVSOXIM-ZDXQCDESSA-N"
"ACES","FTRZTHFGTILUPE-UHFFFAOYSA-N"
"MMP13","DRWHINQPSIPRHF-LLVKDONJSA-N"
"MMP13","VAQNHYAKIUNIKM-CYBMUJFWSA-N"
"CHLE","XOSFOGCCJRNZJO-UHFFFAOYSA-N"
"ACES","XOSFOGCCJRNZJO-UHFFFAOYSA-N"
"MMP13","QPEZTCMCOIDQRV-SMDDNHRTSA-N"
"MMP13","HTNLSTWGHBHDPS-CQSZACIVSA-N"
"TRY1","QEIZOZWDTCKRDF-UHFFFAOYSA-N"
"MMP13","SUSMVCKSLVPRCL-QGZVFWFLSA-N"
"MMP13","RCXJWFMVFQBLSC-MRXNPFEDSA-N"
"MMP13","WGPIMMRNIAYWBT-UHFFFAOYSA-N"
"MMP13","CNDCCBOSTVCBMM-OAHLLOKOSA-N"
"MMP13","HJFONKSERLWIGE-DEOSSOPVSA-N"
"PDE9A","SECKRCOLJRRGGV-UHFFFAOYSA-N"
"TRY1","JXDRVTULOVVFJK-KDVIAZGZSA-N"
"MMP13","HMJIPPQTLJLPNE-UHFFFAOYSA-N"
"MMP13","ZTJUBPXNBSLSGL-UHFFFAOYSA-N"
"ACES","NMTWMKMOKNHOOG-UHFFFAOYSA-L"
"CHLE","ACKJXXOVSOCBPX-UHFFFAOYSA-N"
"ACES","ACKJXXOVSOCBPX-UHFFFAOYSA-N"
"MMP13","CQGUKDZSAPDCJL-UHFFFAOYSA-N"
"ACES","XUOUWGWIRPBWCW-OAQYLSRUSA-N"
"CHLE","WNLQOEBYDOWFBU-UHFFFAOYSA-N"
"MMP13","LMASIGSKSCEZDY-UHFFFAOYSA-N"
"MMP13","CNVJYZPKUZXAML-MUUNZHRXSA-N"
"MMP13","YCIYENASUWAOBH-UHFFFAOYSA-N"
"MMP13","OIBWGGKYJHWGPB-UHFFFAOYSA-N"
"RN5A","XMOPYYQHEVEVJF-LIRFIBJLSA-N"
"MMP13","WPYFTDWGMAINBU-UHFFFAOYSA-N"
"MMP13","RMPYEISUTHEMLW-NDEPHWFRSA-N"
"MMP13","BNKOGVVBAYMLMZ-UHFFFAOYSA-N"
"ACES","AAEYHJGXSUBKQJ-UHFFFAOYSA-N"
"CHLE","VPXVPJQOPRBXPO-UHFFFAOYSA-N"
"ACES","VPXVPJQOPRBXPO-UHFFFAOYSA-N"
"TRY1","WZUKLJJPQVYUOL-LBPRGKRZSA-N"
"PPAC","MAKLPSKEADWFJA-STZFKDTASA-N"
"CHLE","IIBSAKGKZGFYNB-UHFFFAOYSA-N"
"LIPE","MXODNNNPSJJTNP-UHFFFAOYSA-N"
"F13A","MYULBZNAQWBTNR-UHFFFAOYSA-N"
"CP2D6","KAVHHDMCLXFYPS-NRFANRHFSA-N"
"CP2D6","RJECZNRGVJPLSQ-JBRSBNLGSA-N"
"CP2D6","ULFGYOICMCABPV-SONWIMMPSA-N"
"CP3A4","ZWVZORIKUNOTCS-OAQYLSRUSA-N"
"CP1A2","VNJFIBFHISUZRV-ZACQAIPSSA-N"
"C11B2","CLPFFLWZZBQMAO-CQSZACIVSA-N"
"C11B2","CLPFFLWZZBQMAO-AWEZNQCLSA-N"
"C11B1","CLPFFLWZZBQMAO-CQSZACIVSA-N"
"C11B1","CLPFFLWZZBQMAO-AWEZNQCLSA-N"
"CP19A","CLPFFLWZZBQMAO-CQSZACIVSA-N"
"CP19A","CLPFFLWZZBQMAO-AWEZNQCLSA-N"
"CP2D6","ORUPHFRKUPILCN-IOASZLSFSA-N"
"CP2D6","APQJKSFOISLQFF-UHFFFAOYSA-N"
"CP3A4","DWRKFAJEBUWTQM-UHFFFAOYSA-N"
"CP51A","VYNIUBZKEWJOJP-IRLDBZIGSA-N"
"THAS","LRBQNJMCXXYXIU-PPKXGCFTSA-N"
"CP1A2","LRBQNJMCXXYXIU-PPKXGCFTSA-N"
"CP19A","OHQJNLNJNBFQEQ-UHFFFAOYSA-N"
"CP2D6","VUXLKOATKUTQHW-UHFFFAOYSA-N"
"CP1A2","VUXLKOATKUTQHW-UHFFFAOYSA-N"
"CP2C9","MGWSCJCLMDQNGB-UHFFFAOYSA-N"
"CP3A4","SHUVSCHNMZHWMV-UHFFFAOYSA-N"
"CP2CJ","VMLXQVRAOYTIFJ-UHFFFAOYSA-N"
"CP2C9","VMLXQVRAOYTIFJ-UHFFFAOYSA-N"
