"","TargetName","Scaffold","MolNum"
"145","THRB_HUMAN","Sca102260",1
"146","GRM5_RAT","Sca102260",1
"147","CHK1_HUMAN","Sca102260",1
"148","DPP4_HUMAN","Sca102260",1
"149","ACM2_RAT","Sca102293",5
"150","ACM3_RAT","Sca102293",9
"151","SC6A4_HUMAN","Sca102386",5
"152","SC6A3_HUMAN","Sca102386",12
"153","SC6A2_HUMAN","Sca102386",15
"154","5HT2A_RAT","Sca102386",2
"155","ADA1A_HUMAN","Sca10239",4
"156","ADA1B_HUMAN","Sca10239",2
"157","ADA1D_HUMAN","Sca10239",1
"158","MCHR1_RAT","Sca10239",12
"159","CATK_RAT","Sca102517",2
"160","PIM3_HUMAN","Sca102574",1
"161","GSK3B_HUMAN","Sca102574",1
"162","PIM1_HUMAN","Sca102574",1
"163","PIM2_HUMAN","Sca102574",1
"164","ADRB1_HUMAN","Sca102578",1
"165","CSK21_HUMAN","Sca102585",1
"166","GSK3B_HUMAN","Sca102585",1
"167","PGH2_HUMAN","Sca1027",71
"168","PGH1_HUMAN","Sca1027",15
"169","CP3A4_HUMAN","Sca102788",1
"170","GNRHR_RAT","Sca102788",6
"171","GNRHR_HUMAN","Sca102788",6
"172","TRPV1_HUMAN","Sca102966",19
"173","KCNH2_HUMAN","Sca103037",4
"174","AA1R_HUMAN","Sca103037",33
"175","AA2BR_HUMAN","Sca103037",1
"176","AA2AR_RAT","Sca103037",19
"177","AA2AR_HUMAN","Sca103037",53
"178","AA3R_HUMAN","Sca103037",1
"179","KCNH2_HUMAN","Sca103038",1
"180","AA1R_HUMAN","Sca103038",4
"181","AA2AR_RAT","Sca103038",1
"182","AA2AR_HUMAN","Sca103038",5
"183","P2RX7_HUMAN","Sca103038",1
"184","GRM5_HUMAN","Sca103038",7
"185","AA1R_HUMAN","Sca103040",3
"186","AA2AR_RAT","Sca103040",1
"187","AA2AR_HUMAN","Sca103040",9
"188","PDK1_HUMAN","Sca103054",7
"189","KPCD_MOUSE","Sca103068",2
"190","NK1R_HUMAN","Sca10310",1
"191","SSR2_HUMAN","Sca10310",1
"192","SSR3_HUMAN","Sca10310",1
"193","SSR4_HUMAN","Sca10310",1
"194","SSR2_HUMAN","Sca10312",1
"195","SSR3_HUMAN","Sca10312",1
"196","SSR4_HUMAN","Sca10312",1
"197","SSR1_HUMAN","Sca10312",1
"198","MSHR_HUMAN","Sca103201",1
"199","RENI_RAT","Sca10322",1
"200","RENI_HUMAN","Sca10322",19
"201","TPA_HUMAN","Sca103222",1
"202","CATL1_HUMAN","Sca103222",2
"203","CATL2_HUMAN","Sca103222",2
"204","CATK_HUMAN","Sca103222",2
"205","PDE4A_HUMAN","Sca103222",1
"206","MMP3_HUMAN","Sca10331",1
"207","CATL1_HUMAN","Sca10331",7
"208","CATK_HUMAN","Sca10331",7
"209","CATB_HUMAN","Sca10331",7
"210","NTCP2_HUMAN","Sca10334",3
"211","NR1H4_HUMAN","Sca10334",2
"212","NR1H3_HUMAN","Sca10334",1
"213","CP51A_RAT","Sca10334",1
"214","CP17A_HUMAN","Sca10334",2
"215","CDC7_HUMAN","Sca103363",7
"216","DYRK2_HUMAN","Sca103384",1
"217","CDK5_HUMAN","Sca103384",1
"218","GSK3B_HUMAN","Sca103384",1
"219","DYR1A_RAT","Sca103384",1
"220","GLR_RAT","Sca10343",6
"221","GLR_HUMAN","Sca10343",1
"222","SCNAA_MOUSE","Sca103467",1
"223","GCR_RAT","Sca1035",1
"224","GCR_HUMAN","Sca1035",14
"225","PRGR_HUMAN","Sca1035",33
"226","ANDR_HUMAN","Sca1035",3
"227","CCR3_HUMAN","Sca103568",16
"228","CP2D6_HUMAN","Sca103568",6
"229","CCR3_MOUSE","Sca103570",1
"230","CCR3_HUMAN","Sca103570",16
"231","CP2D6_HUMAN","Sca103570",6
"232","KCNH2_HUMAN","Sca103572",1
"233","SCNAA_HUMAN","Sca103572",1
"234","TMPS6_HUMAN","Sca103615",2
"235","ELNE_HUMAN","Sca103615",3
"236","5HT1A_HUMAN","Sca103651",1
"237","5HT7R_HUMAN","Sca103651",1
"238","5HT2A_HUMAN","Sca103651",1
"239","5HT6R_HUMAN","Sca103651",1
"240","DRD1_HUMAN","Sca103651",1
"241","FGFR3_HUMAN","Sca103747",4
"242","SEPR_MOUSE","Sca103747",1
"243","AA2BR_HUMAN","Sca103901",12
"244","AA3R_HUMAN","Sca103901",5
"245","AA2BR_HUMAN","Sca103911",5
"246","KCNA5_HUMAN","Sca1040",4
"247","HYES_RAT","Sca1040",1
"248","HYES_HUMAN","Sca1040",3
"249","AURKB_HUMAN","Sca1040",1
"250","ACHA7_HUMAN","Sca1041",1
"251","CNR2_HUMAN","Sca1041",1
"252","CATK_HUMAN","Sca1041",1
"253","ADA1A_RAT","Sca104137",13
"254","KCNH2_HUMAN","Sca104137",13
"255","5HT1A_HUMAN","Sca104137",13
"256","5HT2A_HUMAN","Sca104137",13
"257","DRD2_HUMAN","Sca104137",12
"258","PDE8B_HUMAN","Sca10420",1
"259","AA1R_RAT","Sca10420",1
"260","AA2AR_HUMAN","Sca10420",1
"261","PDE8B_HUMAN","Sca10421",20
"262","GPR35_MOUSE","Sca10421",1
"263","GPR35_HUMAN","Sca10421",1
"264","PDE5A_HUMAN","Sca10421",1
"265","PDE4A_HUMAN","Sca104220",23
"266","CAH9_HUMAN","Sca104221",7
"267","CAH2_HUMAN","Sca104221",7
"268","CAH1_HUMAN","Sca104221",7
"269","CAH12_HUMAN","Sca104221",7
"270","PDE4A_HUMAN","Sca104221",5
"271","GRIA2_HUMAN","Sca104237",4
"272","PDE10_MOUSE","Sca104263",1
"273","RORG_HUMAN","Sca104263",1
"274","SCNAA_HUMAN","Sca104283",8
"275","SCN9A_HUMAN","Sca104283",15
"276","ADA10_HUMAN","Sca104348",17
"277","UROK_HUMAN","Sca10446",7
"278","CP3A4_HUMAN","Sca104529",1
"279","LCK_HUMAN","Sca104529",1
"280","FAK1_HUMAN","Sca104529",1
"281","IGF1R_MOUSE","Sca104529",1
"282","IGF1R_HUMAN","Sca104529",18
"283","MC4R_HUMAN","Sca104538",35
"284","VGFR2_HUMAN","Sca104574",1
"285","DDR2_HUMAN","Sca104574",1
"286","TIE2_HUMAN","Sca104574",1
"287","KCNH2_HUMAN","Sca104658",1
"288","AA1R_HUMAN","Sca104658",4
"289","AA2AR_HUMAN","Sca104658",5
"290","CHK1_HUMAN","Sca104699",1
"291","CHK2_HUMAN","Sca104699",1
"292","MK01_HUMAN","Sca104699",1
"293","HDA11_HUMAN","Sca104765",1
"294","HDA10_HUMAN","Sca104765",1
"295","HDAC1_HUMAN","Sca104765",6
"296","HDAC3_HUMAN","Sca104765",6
"297","HDAC2_HUMAN","Sca104765",1
"298","HDAC8_HUMAN","Sca104765",3
"299","HDAC1_HUMAN","Sca104767",8
"300","ACM5_HUMAN","Sca104831",1
"301","ACM4_HUMAN","Sca104831",1
"302","KCNH2_HUMAN","Sca104880",3
"303","MC4R_RAT","Sca104880",4
"304","MC4R_HUMAN","Sca104880",30
"305","MC5R_HUMAN","Sca104880",6
"306","SC6A4_RAT","Sca104903",1
"307","SC6A4_HUMAN","Sca104903",2
"308","SC6A3_RAT","Sca104903",1
"309","SC6A3_HUMAN","Sca104903",2
"310","SC6A2_HUMAN","Sca104903",2
"311","CP1A2_HUMAN","Sca104903",1
"312","HDAC3_HUMAN","Sca104921",1
"313","XCT_HUMAN","Sca104974",5
"314","TRPM8_HUMAN","Sca105033",1
"315","TRPM8_RAT","Sca105033",7
"316","SIR1_HUMAN","Sca105039",1
"317","SCN9A_HUMAN","Sca105085",11
"318","P2RY1_HUMAN","Sca105085",18
"319","FLT3_HUMAN","Sca105382",1
"320","CSF1R_MOUSE","Sca105382",8
"321","KIT_HUMAN","Sca105383",2
"322","FLT3_HUMAN","Sca105383",2
"323","CSF1R_MOUSE","Sca105383",16
"324","NTRK1_HUMAN","Sca105383",2
"325","CDK5_HUMAN","Sca10552",1
"326","CP19A_HUMAN","Sca10552",10
"327","VGFR2_MOUSE","Sca105635",8
"328","SL9A1_HUMAN","Sca1057",1
"329","DRD3_RAT","Sca1057",1
"330","DRD3_HUMAN","Sca1057",1
"331","DRD4_HUMAN","Sca1057",1
"332","DRD2_HUMAN","Sca1057",5
"333","LCK_MOUSE","Sca105783",1
"334","CSK_HUMAN","Sca105783",1
"335","KPCD1_HUMAN","Sca105783",1
"336","KAPCA_HUMAN","Sca105783",1
"337","MK08_HUMAN","Sca105783",1
"338","RIPK2_HUMAN","Sca105783",1
"339","PD2R2_MOUSE","Sca105788",4
"340","AGTRA_RAT","Sca105811",11
"341","ROCK2_HUMAN","Sca105814",1
"342","LIMK1_HUMAN","Sca105814",1
"343","LIMK2_HUMAN","Sca105814",1
"344","FLT3_HUMAN","Sca105903",1
"345","FAK2_HUMAN","Sca105903",1
"346","AURKB_HUMAN","Sca105903",1
"347","MET_HUMAN","Sca105903",1
